Wilayah,Narsum,Kategori_Responden,Pertanyaan,Tanggapan
Sentani,Dinas Sosial,KII,Skenario 6 bulan ke depan:,"Sosial: Stigma dan diskriminasi terhadap anak bermasalah, terutama di lingkungan sekolah."
Sentani,Dinas Sosial,KII,Apa yang perlu dilakukan dan oleh siapa?,Fasilitas Rehabilitasi: Perlu penambahan fasilitas rehab karena saat ini sangat kurang.
Sentani,Dinas Sosial,KII,Apa yang perlu dilakukan dan oleh siapa?,Pendampingan Keluarga: Keluarga perlu didorong untuk lebih bertanggung jawab dalam merawat anggota keluarganya yang bermasalah.
Sentani,Dinas Sosial,KII,Apa yang perlu dilakukan dan oleh siapa?,Ruang Publik: Perlu disediakan ruang bermain/berkegiatan positif untuk anak-anak yang terjangkau (gratis/murah).
Sentani,Dinas Sosial,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Mendengar ada program pendampingan anak dari pihak tertentu, hal ini sangat bagus. Jika anak-anak tersebut termasuk dalam komunitas kampung yang ada, bisa bekerja sama untuk mengawasi mereka."
Sentani,Dinas Sosial,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,Adanya lembaga yang membantu proses rehabilitasi dan pendampingan jangka panjang.
Sentani,Dinas Sosial,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,Pentingnya membangun kesadaran keluarga untuk mendukung pemulihan anak-anak mereka.
Sentani,Dinas Pendidikan,KII,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"PAUD: Banyak PAUD yang dibuka hanya untuk mendapatkan bantuan (BUP), tetapi tidak berjalan karena tidak ada tenaga pengajar yang memiliki gelar pendidikan yang sesuai."
Sentani,Dinas Pendidikan,KII,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,Honor Guru: Dana APBD tidak mencukupi sehingga pembayaran honor guru sering terlambat.
Sentani,Dinas Pendidikan,KII,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"Status Bangunan: Banyak bangunan PAUD menggunakan rumah pribadi, sehingga saat ada bantuan sulit dicairkan karena tidak memiliki sertifikat sebagai gedung sekolah."
Sentani,Dinas Pendidikan,KII,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"SD: Banyak SD dalam kondisi rusak, dana tidak cukup untuk perbaikan."
Sentani,Dinas Pendidikan,KII,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"Sengketa Tanah: Terjadi pemalangan sekolah karena tanah sekolah belum dibayar. Akibatnya, anak-anak di kampung sendiri tidak bisa sekolah dengan baik."
Sentani,Dinas Pendidikan,KII,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"Pelepasan Tanah: Syarat utama untuk perbaikan gedung adalah adanya pelepasan tanah, namun ini sering menjadi kendala."
Sentani,Dinas Pendidikan,KII,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Palang Sekolah: Masalah utama adalah pemalangan sekolah oleh pemilik hak tanah.
Sentani,Dinas Pendidikan,KII,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,"Potensi Konflik Dana: Saat ini masalah dana belum menimbulkan konflik, tapi ke depannya berpotensi muncul konflik. Indikasinya bisa terlihat dari media sosial yang mulai menjelekkan nama dinas tertentu."
Sentani,Dinas Pendidikan,KII,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,"Pembagian Dana: Dana dari pusat dibagi merata ke 5 bidang, sehingga ada pihak yang tidak mendapat bantuan dan tidak sempat digaji."
Sentani,Dinas Pendidikan,KII,Bagaimana ketegangan tersebut muncul?,Masalah Pengelolaan Keuangan: Masalah yang muncul sebelumnya disebabkan oleh Penjabat (PJ) atau pejabat sebelumnya yang tidak bisa mengelola keuangan dengan baik.
Sentani,Dinas Pendidikan,KII,Bagaimana ketegangan tersebut muncul?,Isu Suku: Ditanyakan apakah ada potensi konflik antar suku (antara pembuat sekolah dan pemegang sistem pemerintahan). Jawaban: Di sekolah tidak ada masalah terkait suku.
Sentani,Dinas Pendidikan,KII,Mengapa ketegangan ini terjadi?,"Karena adanya oknum yang tidak mampu mengelola keuangan dengan baik, serta masalah kepemilikan tanah yang belum terselesaikan."
Sentani,Dinas Pendidikan,KII,Bagaimana ketegangan ini berubah dalam beberapa bulan terakhir?,Pihak dinas berusaha meredam jika ada yang mulai membicarakan tentang dana yang belum cair agar tidak terjadi konflik di masyarakat.
Sentani,Dinas Pendidikan,KII,Siapa kelompok rentan/berisiko tinggi?,Orang yang punya hak atas tanah dan anak-anak menjadi korban karena tidak bisa bersekolah akibat pemalangan.
Sentani,Dinas Pendidikan,KII,"Bagaimana masyarakat memandang aktor (Pemerintah, LSM, dll)?","Kebanyakan guru yang bermasalah adalah saudara sendiri (Orang Asli Papua/OAP). Mereka mengajar hanya sebagai rutinitas dan mengincar gaji, bukan sebagai panggilan."
Sentani,Dinas Pendidikan,KII,"Bagaimana masyarakat memandang aktor (Pemerintah, LSM, dll)?","Hal ini mempengaruhi orang luar yang datang bekerja, karena mereka menjadi tidak segan dan ikut-ikutan melakukan hal yang sama."
Sentani,Dinas Pendidikan,KII,Skenario 6 bulan ke depan:,Keamanan: Tidak ada karena lingkungan aman
Sentani,Dinas Pendidikan,KII,Skenario 6 bulan ke depan:,Politik: Politik tidak mempengaruhi tugas di dinas pendidikan.
Sentani,Dinas Pendidikan,KII,Skenario 6 bulan ke depan:,Ekonomi: Potensi konflik bisa muncul terkait dana yang belum cair dan masalah tanah sekolah.
Sentani,Dinas Pendidikan,KII,Apa yang perlu dilakukan dan oleh siapa?,Saat ini pihak dinas berusaha meredam pembicaraan tentang dana yang belum cair agar tidak memicu konflik.
Sentani,Dinas Pendidikan,KII,Apa yang bisa dilakukan Bersama dengan WVI:,"Penyuluhan untuk Guru: Mengingatkan bahwa profesi guru adalah panggilan untuk mengajar, bukan sekadar rutinitas harian yang hanya mengincar gaji."
Sentani,Dinas Pendidikan,KII,Apa yang bisa dilakukan Bersama dengan WVI:,"Pembinaan Spiritual: Agar guru menyadari bahwa tugas mereka adalah panggilan mulia, sehingga anak-anak bisa melihat sosok Tuhan Yesus melalui diri guru."
Sentani,Dinas Pendidikan,KII,Apa yang bisa dilakukan Bersama dengan WVI:,Peningkatan Skill: Agar guru bisa mengajar dengan cara yang menarik sehingga anak-anak lebih memahami pelajaran.
Sentani,Dinas Pendidikan,KII,Pesan untuk WVI:,"Kegiatan apa pun yang dilakukan untuk melayani Tuhan dan mengasihi sesama akan aman-aman saja, terutama jika dilakukan bersama OAP."
Sentani,Dinas Pendidikan,KII,Pesan untuk WVI:,Diharapkan ada lembaga yang membantu menyadarkan guru akan panggilan mulia mereka.
